SYMBOL,TIMESTAMP,CLOSE,TOTTRDQTY,moving_average
CAPACITE,16-NOV-2023,262.45,4027033,235.95
CAPLIPOINT,16-NOV-2023,1284.5,107250,773.475
CARBORUNIV,16-NOV-2023,1100.9,119771,600.95
CARERATING,16-NOV-2023,853.8,35487,536.7
CARTRADE,16-NOV-2023,858.35,184520,856.075
CCL,16-NOV-2023,640.3,94999,387.125
CDSL,16-NOV-2023,1784.3,2403259,1212.3
CEATLTD,16-NOV-2023,2118.95,209103,1951.625
CENTURYPLY,16-NOV-2023,636.35,54437,333.725
CENTURYTEX,16-NOV-2023,1235.1,80032,935.7249999999999
CERA,16-NOV-2023,8839.65,7609,5037.375
CGCL,16-NOV-2023,771.35,142335,433.7
CHALET,16-NOV-2023,602.35,280968,500.25
CHEMBOND,16-NOV-2023,477.85,207114,393.45000000000005
CHEMFAB,16-NOV-2023,366.1,5000,316.07500000000005
CHEMPLASTS,16-NOV-2023,441.7,149491,403.9
CHENNPETRO,16-NOV-2023,650.05,4446257,545.875
CHEVIOT,16-NOV-2023,1235.95,2308,942.9999999999999
CHOLAFIN,16-NOV-2023,1165.3,848317,801.8749999999999
CIGNITITEC,16-NOV-2023,1086.55,176651,789.0749999999999
CIPLA,16-NOV-2023,1234.8,1251094,1160.6749999999997
CLEAN,16-NOV-2023,1360.85,60259,1297.8249999999998
CLSEL,16-NOV-2023,219.9,257588,151.625
CMSINFO,16-NOV-2023,383.85,778628,301.875
COCHINSHIP,16-NOV-2023,1078.6,2173797,664.3499999999999
COFORGE,16-NOV-2023,5701.1,1104408,2873.775
CONCOR,16-NOV-2023,751.7,1304037,388.0
CONCORDBIO,16-NOV-2023,1305.9,260543,1028.8000000000002
CONSOFINVT,16-NOV-2023,194.2,131829,139.825
CONTROLPR,16-NOV-2023,903.1,19083,499.22
CORDSCABLE,16-NOV-2023,111.6,82369,77.74999999999994
COROMANDEL,16-NOV-2023,1119.5,300319,615.55
CPSEETF,16-NOV-2023,57.18,1123074,30.74
CRAFTSMAN,16-NOV-2023,5107.0,162913,2582.09
CREDITACC,16-NOV-2023,1673.1,170897,838.525
CRISIL,16-NOV-2023,4218.5,60955,2268.925
CSBBANK,16-NOV-2023,360.3,216917,217.9
CSLFINANCE,16-NOV-2023,402.55,114486,381.425
CUB,16-NOV-2023,147.2,8309032,108.94999999999999
CUMMINSIND,16-NOV-2023,1841.95,707768,954.6
CYIENT,16-NOV-2023,1713.9,528735,935.1750000000001
DALBHARAT,16-NOV-2023,2161.1,209388,1348.0
DATAMATICS,16-NOV-2023,594.75,281690,322.4
DATAPATTNS,16-NOV-2023,1851.3,68795,1223.025
DBL,16-NOV-2023,419.4,2296442,359.975
DBREALTY,16-NOV-2023,199.75,14881772,178.25
DCMNVL,16-NOV-2023,163.15,11272,117.875
DCMSHRIRAM,16-NOV-2023,906.75,30716,534.95
DCXINDIA,16-NOV-2023,317.05,2230052,185.97500000000002
DECCANCE,16-NOV-2023,488.2,9271,402.625
DEEPAKFERT,16-NOV-2023,615.5,204034,551.85
DEEPAKNTR,16-NOV-2023,2149.35,238362,1382.425
DEEPINDS,16-NOV-2023,251.5,103408,202.725
DELHIVERY,16-NOV-2023,413.85,1032464,332.675
DENORA,16-NOV-2023,1719.0,45178,888.075
DEVYANI,16-NOV-2023,182.4,2348037,159.85000000000002
DHAMPURSUG,16-NOV-2023,260.2,183777,140.175
DHANI,16-NOV-2023,41.5,1400078,35.675
DHANUKA,16-NOV-2023,870.7,104083,456.1
DHUNINV,16-NOV-2023,951.95,6263,506.27500000000003
DIAMONDYD,16-NOV-2023,814.9,22351,636.975
DIVGIITTS,16-NOV-2023,1090.1,41432,554.55
DIVISLAB,16-NOV-2023,3548.25,249987,2319.175
DIXON,16-NOV-2023,5426.95,466866,2743.7349999999997
DLF,16-NOV-2023,630.25,3206517,394.0
DMART,16-NOV-2023,3790.25,148945,2051.675
DODLA,16-NOV-2023,813.85,433906,553.575
DOLLAR,16-NOV-2023,444.6,54800,255.20000000000002
DPABHUSHAN,16-NOV-2023,590.7,12066,343.5
DPWIRES,16-NOV-2023,616.6,138569,320.45
DREAMFOLKS,16-NOV-2023,550.85,2341710,298.575
DRREDDY,16-NOV-2023,5544.25,339012,3014.35
DSPGOLDETF,16-NOV-2023,60.25,1002,52.39
DSPN50ETF,16-NOV-2023,202.58,193,117.51500000000001
DSPNEWETF,16-NOV-2023,246.25,26127,224.41500000000002
DSPQ50ETF,16-NOV-2023,194.11,6207,108.57999999999998
DSPSILVETF,16-NOV-2023,71.37,662008,68.67499999999998
DSSL,16-NOV-2023,662.9,15285,367.135
DVL,16-NOV-2023,327.9,288950,168.5
DYCL,16-NOV-2023,429.85,47801,260.15
DYNAMATECH,16-NOV-2023,3955.3,10874,2192.5750000000003
EBBETF0425,16-NOV-2023,1162.87,8238,602.2349999999999
EBBETF0430,16-NOV-2023,1306.83,7425,1234.85
ECLERX,16-NOV-2023,2369.0,127291,1715.915
EICHERMOT,16-NOV-2023,3836.75,755583,1949.525
EIHAHOTELS,16-NOV-2023,435.35,19947,287.0
EIMCOELECO,16-NOV-2023,1534.1,13213,883.075
ELDEHSG,16-NOV-2023,726.15,683,434.22500000000014
ELECON,16-NOV-2023,873.65,235165,799.9000000000001
ELGIEQUIP,16-NOV-2023,509.05,192719,309.3000000000001
EMAMILTD,16-NOV-2023,501.0,359134,326.9000000000001
EMIL,16-NOV-2023,214.5,2643801,149.55000000000013
EMMBI,16-NOV-2023,111.05,95326,110.50000000000011
EMSLIMITED,16-NOV-2023,438.3,106696,274.6750000000001
EMUDHRA,16-NOV-2023,469.15,48391,453.72500000000014
ENDURANCE,16-NOV-2023,1595.7,75530,1032.4250000000002
ENGINERSIN,16-NOV-2023,145.25,3082019,83.00000000000023
ENIL,16-NOV-2023,182.1,35980,163.67500000000024
EPIGRAL,16-NOV-2023,912.7,24724,547.4000000000003
ERIS,16-NOV-2023,907.15,79058,502.3250000000002
ESABINDIA,16-NOV-2023,5854.15,7353,2936.925
ESCORTS,16-NOV-2023,3186.75,231098,1628.0500000000004
ESTER,16-NOV-2023,86.0,82486,46.600000000000456
ETHOSLTD,16-NOV-2023,2005.2,68050,1045.6000000000004
EVERESTIND,16-NOV-2023,1158.2,27594,753.0250000000004
EXPLEOSOL,16-NOV-2023,1270.1,36734,771.1250000000005
FACT,16-NOV-2023,730.55,600639,430.6000000000004
FAIRCHEMOR,16-NOV-2023,1162.8,13955,946.6750000000004
FDC,16-NOV-2023,392.2,1015242,197.55000000000044
FIEMIND,16-NOV-2023,1808.2,20962,919.9750000000005
FINCABLES,16-NOV-2023,915.0,457522,484.00000000000045
FINEORG,16-NOV-2023,4291.3,14993,2603.1500000000005
FIVESTAR,16-NOV-2023,801.15,151897,501.7250000000005
FLUOROCHEM,16-NOV-2023,2780.25,73640,1790.7000000000005
FORTIS,16-NOV-2023,362.2,1695692,271.42500000000047
FOSECOIND,16-NOV-2023,3437.1,2379,1899.6500000000005
FUSION,16-NOV-2023,592.35,126760,379.05000000000024
GALAXYSURF,16-NOV-2023,2865.5,8128,1495.9500000000003
GANDHITUBE,16-NOV-2023,691.35,3646,394.55000000000024
GANECOS,16-NOV-2023,910.75,82976,801.0500000000002
GANESHHOUC,16-NOV-2023,397.55,131613,271.8750000000002
GARFIBRES,16-NOV-2023,3138.75,9978,1630.2750000000003
GATI,16-NOV-2023,136.3,395309,117.87500000000023
GEECEE,16-NOV-2023,217.35,31503,109.22500000000022
GENESYS,16-NOV-2023,314.3,37713,265.8250000000002
GENUSPOWER,16-NOV-2023,234.15,418551,127.50000000000026
GEPIL,16-NOV-2023,176.55,254643,121.92500000000025
GESHIP,16-NOV-2023,783.5,144939,480.02500000000026
GHCL,16-NOV-2023,519.25,233187,309.22500000000025
